ID,kod,woj,widz,ludn,wzgwidz,area
1,5020000000,dol,181654,3075532,5.91,2.560132646 
2,6040000000,kuj-pom,143056,2253588,6.35,2.408909214 
3,1100000000,lodz,167292,2780871,6.02,2.364604854 
4,3060000000,lube,49803,2378628,2.09,3.232047853 
5,4080000000,lubu,105626,1018075,10.38,1.83826798 
6,2120000000,malo,496489,3974719,12.49,1.899358538 
7,1140000000,mazo,1416412,5719615,24.76,4.68937037 
8,5160000000,opo,52710,1024572,5.14,1.196510244 
9,3180000000,podk,33852,2619228,1.29,2.236432356 
10,3200000000,podl,30842,1770812,1.74,2.719715142 
11,6220000000,pom,202605,2326317,8.71,2.519427448 
12,2240000000,slas,410602,5106526,8.04,1.556835388 
13,3260000000,swtkrz,42622,1306646,3.26,1.491642152 
14,6280000000,war-maz,110498,2158219,5.12,3.301182716 
15,4300000000,wielko,156175,3588302,4.35,3.930824213 
16,4320000000,zchdpom,145996,1838881,7.94,3.1076887 
